[14/Dec/2015 09:19:17] [django.db.backends:89] (0.000) QUERY = 'UPDATE "django_session" SET "session_data" = %s, "expire_date" = %s WHERE "django_session"."session_key" = %s' - PARAMS = ('ZDU1YjA0ODFkOWM3YjhhNzUyZWJmNjdiODdlZTY3OTkzN2NlMmRkNjp7Il9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwiX2F1dGhfdXNlcl9oYXNoIjoiMjg0ZTBkN2E3ZDQyYjRhZWZhZTgwZmM5NWUxMzEyZjE5YTk4NTdhNCIsIl9hdXRoX3VzZXJfaWQiOiI1In0=', '2015-12-28 09:19:17.205457', '9lestkdo5g27exblljcgukzg24hytwuf'); args=('ZDU1YjA0ODFkOWM3YjhhNzUyZWJmNjdiODdlZTY3OTkzN2NlMmRkNjp7Il9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwiX2F1dGhfdXNlcl9oYXNoIjoiMjg0ZTBkN2E3ZDQyYjRhZWZhZTgwZmM5NWUxMzEyZjE5YTk4NTdhNCIsIl9hdXRoX3VzZXJfaWQiOiI1In0=', '2015-12-28 09:19:17.205457', '9lestkdo5g27exblljcgukzg24hytwuf')
[14/Dec/2015 09:19:17] [django.db.backends:89] (0.000) QUERY = 'INSERT INTO "django_session" ("session_key", "session_data", "expire_date") SELECT %s AS "session_key", %s AS "session_data", %s AS "expire_date"' - PARAMS = ('9lestkdo5g27exblljcgukzg24hytwuf', 'ZDU1YjA0ODFkOWM3YjhhNzUyZWJmNjdiODdlZTY3OTkzN2NlMmRkNjp7Il9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwiX2F1dGhfdXNlcl9oYXNoIjoiMjg0ZTBkN2E3ZDQyYjRhZWZhZTgwZmM5NWUxMzEyZjE5YTk4NTdhNCIsIl9hdXRoX3VzZXJfaWQiOiI1In0=', '2015-12-28 09:19:17.205457'); args=('9lestkdo5g27exblljcgukzg24hytwuf', 'ZDU1YjA0ODFkOWM3YjhhNzUyZWJmNjdiODdlZTY3OTkzN2NlMmRkNjp7Il9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwiX2F1dGhfdXNlcl9oYXNoIjoiMjg0ZTBkN2E3ZDQyYjRhZWZhZTgwZmM5NWUxMzEyZjE5YTk4NTdhNCIsIl9hdXRoX3VzZXJfaWQiOiI1In0=', '2015-12-28 09:19:17.205457')
[14/Dec/2015 09:19:17] [django.db.backends:89] (0.000) QUERY = 'UPDATE "django_session" SET "session_data" = %s, "expire_date" = %s WHERE "django_session"."session_key" = %s' - PARAMS = ('YjQ3NDA0MDdjZjBjYWE2MjQyNGExMDNhMWQwODMzMjg2NzEwNzQ0MDp7Il9zZXNzaW9uX3NlY3VyaXR5IjoiMjAxNS0xMi0xNFQwOToxOToxNy40NzkwNTUiLCJfYXV0aF91c2VyX2JhY2tlbmQiOiJkamFuZ28uY29udHJpYi5hdXRoLmJhY2tlbmRzLk1vZGVsQmFja2VuZCIsIl9hdXRoX3VzZXJfaGFzaCI6IjI4NGUwZDdhN2Q0MmI0YWVmYWU4MGZjOTVlMTMxMmYxOWE5ODU3YTQiLCJfYXV0aF91c2VyX2lkIjoiNSJ9', '2015-12-28 09:19:17.573066', '9lestkdo5g27exblljcgukzg24hytwuf'); args=('YjQ3NDA0MDdjZjBjYWE2MjQyNGExMDNhMWQwODMzMjg2NzEwNzQ0MDp7Il9zZXNzaW9uX3NlY3VyaXR5IjoiMjAxNS0xMi0xNFQwOToxOToxNy40NzkwNTUiLCJfYXV0aF91c2VyX2JhY2tlbmQiOiJkamFuZ28uY29udHJpYi5hdXRoLmJhY2tlbmRzLk1vZGVsQmFja2VuZCIsIl9hdXRoX3VzZXJfaGFzaCI6IjI4NGUwZDdhN2Q0MmI0YWVmYWU4MGZjOTVlMTMxMmYxOWE5ODU3YTQiLCJfYXV0aF91c2VyX2lkIjoiNSJ9', '2015-12-28 09:19:17.573066', '9lestkdo5g27exblljcgukzg24hytwuf')
[14/Dec/2015 09:19:18] [django.db.backends:89] (0.000) QUERY = 'UPDATE "django_session" SET "session_data" = %s, "expire_date" = %s WHERE "django_session"."session_key" = %s' - PARAMS = ('NDIzNDhkMWIwNDM4MWNkYTliYjZmZDg0YmYxNDQ0YjZmYWQ3YTYwNDp7Il9hdXRoX3VzZXJfaGFzaCI6IjI4NGUwZDdhN2Q0MmI0YWVmYWU4MGZjOTVlMTMxMmYxOWE5ODU3YTQiLCJfYXV0aF91c2VyX2JhY2tlbmQiOiJkamFuZ28uY29udHJpYi5hdXRoLmJhY2tlbmRzLk1vZGVsQmFja2VuZCIsIl9zZXNzaW9uX3NlY3VyaXR5IjoiMjAxNS0xMi0xNFQwOToxOToxNy44Nzc0MTYiLCJfYXV0aF91c2VyX2lkIjoiNSJ9', '2015-12-28 09:19:18.035649', '9lestkdo5g27exblljcgukzg24hytwuf'); args=('NDIzNDhkMWIwNDM4MWNkYTliYjZmZDg0YmYxNDQ0YjZmYWQ3YTYwNDp7Il9hdXRoX3VzZXJfaGFzaCI6IjI4NGUwZDdhN2Q0MmI0YWVmYWU4MGZjOTVlMTMxMmYxOWE5ODU3YTQiLCJfYXV0aF91c2VyX2JhY2tlbmQiOiJkamFuZ28uY29udHJpYi5hdXRoLmJhY2tlbmRzLk1vZGVsQmFja2VuZCIsIl9zZXNzaW9uX3NlY3VyaXR5IjoiMjAxNS0xMi0xNFQwOToxOToxNy44Nzc0MTYiLCJfYXV0aF91c2VyX2lkIjoiNSJ9', '2015-12-28 09:19:18.035649', '9lestkdo5g27exblljcgukzg24hytwuf')
[14/Dec/2015 09:19:20] [django.db.backends:89] (0.000) QUERY = 'DELETE FROM "django_session" WHERE "django_session"."session_key" IN (%s)' - PARAMS = ('9lestkdo5g27exblljcgukzg24hytwuf',); args=('9lestkdo5g27exblljcgukzg24hytwuf',)
[14/Dec/2015 09:35:11] [django.db.backends:89] (0.000) QUERY = 'INSERT INTO "django_session" ("session_key", "session_data", "expire_date") SELECT %s AS "session_key", %s AS "session_data", %s AS "expire_date"' - PARAMS = ('9p6lk9ttz97ku2g6rah1il0tak9kb1jr', 'Njk1NDVlOTVhZDcwZjFhZTBmMDVjY2Y5NzhiY2RiZWYyYTg3NjkzMDp7fQ==', '2015-12-28 09:35:11.011481'); args=('9p6lk9ttz97ku2g6rah1il0tak9kb1jr', 'Njk1NDVlOTVhZDcwZjFhZTBmMDVjY2Y5NzhiY2RiZWYyYTg3NjkzMDp7fQ==', '2015-12-28 09:35:11.011481')
[14/Dec/2015 09:35:11] [django.db.backends:89] (0.000) QUERY = 'DELETE FROM "django_session" WHERE "django_session"."session_key" IN (%s)' - PARAMS = ('9p6lk9ttz97ku2g6rah1il0tak9kb1jr',); args=('9p6lk9ttz97ku2g6rah1il0tak9kb1jr',)
[14/Dec/2015 09:35:11] [django.db.backends:89] (0.000) QUERY = 'UPDATE "auth_user" SET "last_login" = %s WHERE "auth_user"."id" = %s' - PARAMS = ('2015-12-14 09:35:11.583633', 21); args=('2015-12-14 09:35:11.583633', 21)
[14/Dec/2015 09:35:12] [django.db.backends:89] (0.000) QUERY = 'INSERT INTO "defender_accessattempt" ("user_agent", "ip_address", "username", "http_accept", "path_info", "attempt_time", "login_valid") VALUES (%s, %s, %s, %s, %s, %s, %s)' - PARAMS = ('Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:42.0) Gecko/20100101 Firefox/42.0', '192.168.0.1', 'gcda', 'text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8', '/validate/', '2015-12-14 09:35:12.167930', True); args=['Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:42.0) Gecko/20100101 Firefox/42.0', '192.168.0.1', 'gcda', 'text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8', '/validate/', '2015-12-14 09:35:12.167930', True]
[14/Dec/2015 09:35:12] [django.db.backends:89] (0.000) QUERY = 'UPDATE "django_session" SET "session_data" = %s, "expire_date" = %s WHERE "django_session"."session_key" = %s' - PARAMS = ('MjNlYzYzMTRmZTUzNDk5YTM1MzYwZjBiYjE2ZjVkN2Q4NDIxNjA1MTp7Il9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwiX2F1dGhfdXNlcl9oYXNoIjoiYjY4MmJiZTYwZmM1OTU2NTIzMzA4ZTUxMjFiNzU3NTRlMGVjZjM0NiIsIl9hdXRoX3VzZXJfaWQiOiIyMSJ9', '2015-12-28 09:35:12.389108', '9p6lk9ttz97ku2g6rah1il0tak9kb1jr'); args=('MjNlYzYzMTRmZTUzNDk5YTM1MzYwZjBiYjE2ZjVkN2Q4NDIxNjA1MTp7Il9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwiX2F1dGhfdXNlcl9oYXNoIjoiYjY4MmJiZTYwZmM1OTU2NTIzMzA4ZTUxMjFiNzU3NTRlMGVjZjM0NiIsIl9hdXRoX3VzZXJfaWQiOiIyMSJ9', '2015-12-28 09:35:12.389108', '9p6lk9ttz97ku2g6rah1il0tak9kb1jr')
